id,multiplier,recorded_at
6448,9.19,2026-05-22 13:58:51.765639+00
6449,1.34,2026-05-22 13:59:08.587067+00
6450,1.07,2026-05-22 13:59:25.280578+00
6451,43.3,2026-05-22 14:00:23.085255+00
6452,9.14,2026-05-22 14:00:56.371011+00
6453,1.01,2026-05-22 14:01:13.036817+00
6454,29.88,2026-05-22 14:02:02.435709+00
6455,2.18,2026-05-22 14:02:27.602416+00
6456,1.13,2026-05-22 14:02:44.54433+00
6457,2.19,2026-05-22 14:03:09.688123+00
6458,2.21,2026-05-22 14:03:35.043716+00
6459,3.47,2026-05-22 14:04:00.098237+00
6460,2.08,2026-05-22 14:04:24.979731+00
6461,1.32,2026-05-22 14:04:41.771655+00
6462,2.6,2026-05-22 14:05:06.64565+00
6463,1.2,2026-05-22 14:05:23.354028+00
6464,42.86,2026-05-22 14:06:21.111856+00
6465,1.25,2026-05-22 14:06:37.757225+00
6466,1.17,2026-05-22 14:06:54.40594+00
6467,17.68,2026-05-22 14:07:35.712457+00
6468,4.72,2026-05-22 14:08:08.90428+00
6469,1.05,2026-05-22 14:08:25.679369+00
6470,9.13,2026-05-22 14:09:07.575807+00
6471,1.88,2026-05-22 14:09:24.212334+00
6472,1.55,2026-05-22 14:09:49.152644+00
6473,1.23,2026-05-22 14:10:05.847485+00
6474,21.36,2026-05-22 14:10:55.538187+00
6475,1.42,2026-05-22 14:11:12.277064+00
6476,4.08,2026-05-22 14:11:45.506249+00
6477,1.25,2026-05-22 14:11:53.840163+00
6478,1.08,2026-05-22 14:12:10.494013+00
6479,1.68,2026-05-22 14:12:27.058634+00
6480,1.26,2026-05-22 14:12:43.585159+00
6481,13.11,2026-05-22 14:13:33.700005+00
6482,4,2026-05-22 14:14:06.930508+00
6483,1.05,2026-05-22 14:14:15.308821+00
6484,1.27,2026-05-22 14:14:31.97443+00
6485,1.44,2026-05-22 14:14:48.547665+00
6486,2.56,2026-05-22 14:15:13.436388+00
6487,1.14,2026-05-22 14:15:30.087352+00
6488,1.76,2026-05-22 14:15:46.633696+00
6489,1.71,2026-05-22 14:16:11.814673+00
6490,2.37,2026-05-22 14:16:36.995699+00
6491,1.35,2026-05-22 14:16:53.667448+00
6492,5,2026-05-22 14:17:26.999082+00
