id,multiplier,recorded_at
6298,1.1500,2026-05-22 12:50:43.389409+00
6299,2.1400,2026-05-22 12:51:08.337268+00
6300,3.3300,2026-05-22 12:51:33.205022+00
6301,3.1800,2026-05-22 12:51:58.166425+00
6302,21.6600,2026-05-22 12:52:56.062413+00
6303,4.9800,2026-05-22 12:53:29.48675+00
6304,1.7900,2026-05-22 12:53:46.113931+00
6305,1.7400,2026-05-22 12:54:02.716089+00
6306,1.2800,2026-05-22 12:54:19.518058+00
6307,1.1500,2026-05-22 12:54:36.236678+00
6308,113.2800,2026-05-22 12:55:50.495808+00
6309,2.8000,2026-05-22 12:56:15.523469+00
6310,3.0300,2026-05-22 12:56:40.494987+00
6311,1.1100,2026-05-22 12:56:57.03781+00
6312,2.8600,2026-05-22 12:57:22.436183+00
6313,1.2000,2026-05-22 12:57:39.095914+00
6314,1.4400,2026-05-22 12:57:55.792423+00
6315,1.1400,2026-05-22 12:58:12.618061+00
6316,2.3900,2026-05-22 12:58:37.547342+00
6317,24.1000,2026-05-22 12:59:27.236706+00
6318,1.2800,2026-05-22 12:59:44.494869+00
6319,1.9300,2026-05-22 13:00:01.402931+00
6320,2.1700,2026-05-22 13:00:26.358859+00
6321,1.9200,2026-05-22 13:00:51.292955+00
6322,31.1900,2026-05-22 13:01:48.96573+00
6323,1.0200,2026-05-22 13:01:57.20698+00
6324,2.4100,2026-05-22 13:02:38.930328+00
6325,1.2500,2026-05-22 13:02:38.930328+00
6326,8.2200,2026-05-22 13:03:20.280621+00
6327,1.4900,2026-05-22 13:03:36.926438+00
6328,1.7200,2026-05-22 13:03:53.519024+00
6329,12.9000,2026-05-22 13:04:43.365019+00
6330,6.9700,2026-05-22 13:05:16.693497+00
6331,3.5400,2026-05-22 13:05:49.95829+00
6332,1.8900,2026-05-22 13:06:06.355856+00
6333,2.0000,2026-05-22 13:06:31.360661+00
6334,1.1000,2026-05-22 13:06:47.944744+00
6335,1.1000,2026-05-22 13:06:56.313849+00
6336,7.2900,2026-05-22 13:07:38.193805+00
6337,2.3900,2026-05-22 13:08:03.175646+00
6338,1.5400,2026-05-22 13:08:20.009729+00
6339,1.6600,2026-05-22 13:08:36.469275+00
6340,2.1700,2026-05-22 13:09:01.449216+00
6341,1.0700,2026-05-22 13:09:18.218235+00
6342,3.0000,2026-05-22 13:09:43.179072+00
6343,1.0900,2026-05-22 13:09:59.816724+00
6344,1.2600,2026-05-22 13:10:07.998128+00
6345,1.7400,2026-05-22 13:10:33.262084+00
6346,1.2300,2026-05-22 13:10:49.985384+00
6347,1.6300,2026-05-22 13:11:06.686723+00
6348,1.7600,2026-05-22 13:11:23.159989+00
6349,1.1600,2026-05-22 13:11:39.685+00
6350,1.4200,2026-05-22 13:11:56.278146+00
6351,1.5300,2026-05-22 13:12:21.259105+00
6352,4.3900,2026-05-22 13:12:45.914317+00
6353,1.0600,2026-05-22 13:13:02.649893+00
6354,2.8000,2026-05-22 13:13:27.509661+00
6355,4.6300,2026-05-22 13:14:00.737595+00
6356,6.9700,2026-05-22 13:14:42.14478+00
6357,9.1300,2026-05-22 13:15:15.410888+00
6358,2.8700,2026-05-22 13:15:41.049064+00
6359,1.8500,2026-05-22 13:15:57.624726+00
6360,1.1500,2026-05-22 13:16:14.373644+00
6361,1.2700,2026-05-22 13:16:31.072801+00
6362,1.4100,2026-05-22 13:16:47.883359+00
6363,1.1000,2026-05-22 13:17:04.475225+00
6364,95.6000,2026-05-22 13:18:09.698495+00
6365,12.6200,2026-05-22 13:18:59.41022+00
6366,1.6600,2026-05-22 13:19:16.137459+00
6367,4.1200,2026-05-22 13:19:49.384731+00
6368,2.6900,2026-05-22 13:20:14.544671+00
6369,1.4700,2026-05-22 13:20:31.231069+00
6370,1.6200,2026-05-22 13:20:47.957169+00
6371,2.8600,2026-05-22 13:21:12.806619+00
